,title,date,count_no_deps,no_deps,url,0 Зарегистрировались,0 перерыв,1 Зарегистрировались,1 перерыв,2 Зарегистрировались,2 перерыв,3 Зарегистрировались,4 Зарегистрировались,5 Зарегистрировались,6 Зарегистрировались
106,протокол № 35 от 24.01.2019 г.,24.01.2019,16,"Алимбеков Н.К., Алтынбеков А., Аманкулов М.А. (право голосования передано депутату Омуркулову И.Ш. в письменной форме), Артыкбаев О.М., Артыков А., Баймуратов К.Ш. (право голосования передано депутату Турускулову Ж.К. в письменной форме), Бакиров М.И. (право голосования передано депутату Торобаеву Б.Э. в письменной форме), Джумабеков Д.А., Жээнбеков А.Ш., Жоробеков Т.У. (право голосования передано депутату Келдибаеву С.А. в письменной форме), Зулпукаров Т.З. (право голосования передано депутату Карашеву А.А. в письменной форме), Маматов А., Нышанов С.К. (право голосования передано депутату Сулейманову Б.И. в письменной форме), Туманбаева Р.М., Узакбаев А.О., Эргешов А.М.",http://kenesh.kg/ru/article/show/5288/protokol-35-ot-24-01-2019-g,98,15 минут,108,1 час,86,15 минут,104,111,,
107,протокол № 34 от 23.01.2019 г.,23.01.2019,13,"Алимбеков Н.К., Алтынбеков А., Артыкбаев О.М., Артыков А., Баймуратов К.Ш. (право голосования передано депутату Турускулову Ж.К. в письменной форме), Бакиров М.И. (право голосования передано депутату Торобаеву Б.Э. в письменной форме), Жээнбеков А.Ш., Жоробеков Т.У. (право голосования передано депутату Келдибаеву С.А. в письменной форме), Зулпукаров Т.З. (право голосования передано депутату Карашеву А.А. в письменной форме), Маматов А., Нышанов С.К. (право голосования передано депутату Сулейманову Б.И. в письменной форме), Омуркулов И.Ш. (право голосования передано депутату Касымалиевой А.К. в письменной форме), Узакбаев А.О.",http://kenesh.kg/ru/article/show/5287/protokol-34-ot-23-01-2019-g,110,15 минут,53,1 час,93,15 минут,68,96,,
108,протокол № 33 от 17.01.2019 г.,17.01.2019,5,"Абжалиев А.Т., Артыкбаев О.М., Асылбаева Г.К., Жоробеков Т.У. (право голосования передано депутату Келдибаеву С.А. в письменной форме), Тулендыбаев П.Р.",http://kenesh.kg/ru/article/show/5286/protokol-33-ot-17-01-2019-g,97,15 минут,98,1 час,102,15 минут,105,,,
109,протокол № 32 от 16.01.2019 г.,16.01.2019,1,Артыкбаев О.М.,http://kenesh.kg/ru/article/show/5285/protokol-32-ot-16-01-2019-g,89,15 минут,111,1 час,102,,111,,,
110,протокол № 31 от 27.12.2018 г.,27.12.2018,30,"Айнакулов М.А. (право голосования передано депутату Омуркулову И.Ш. в письменной форме по вопросу об избрании депутата Касымалиевой А.К. на должность заместителя Торага Жогорку Кенеша Кыргызской Республики), Алимбеков Н.К. (право голосования передано депутату Масабирову Т.А. в письменной форме), Арапбаев А.А. (право голосования передано депутату Омуркулову И.Ш. в письменной форме по вопросу об избрании депутата Касымалиевой А.К. на должность заместителя Торага Жогорку Кенеша Кыргызской Республики), Артыкбаев О.М., Бакчиев Дж.А. (право голосования передано депутату Ормонову У.З. в письменной форме), Бокоев К.С. (право голосования передано депутату Жеенчороеву М.К. в письменной форме), Дюшалиев А.К. (право голосования передано депутату Баймуратову К.Ш. в письменной форме по вопросу об избрании депутата Касымалиевой А.К. на должность заместителя Торага Жогорку Кенеша Кыргызской Республики), Жапаров А.У. (право голосования передано депутату Ормонову У.З. в письменной форме), Жумалиев К.М. (право голосования передано депутату Ормонову У.З. в письменной форме по вопросу об избрании депутата Касымалиевой А.К. на должность заместителя Торага Жогорку Кенеша Кыргызской Республики), Жутанов А.Т. (право голосования передано депутату Икрамову Т.И. в письменной форме по вопросу об избрании депутата Касымалиевой А.К. на должность заместителя Торага Жогорку Кенеша Кыргызской Республики), Казакбаев Р.А. (право голосования передано депутату Алтынбекову А. в письменной форме по вопросу об избрании депутата Касымалиевой А.К. на должность заместителя Торага Жогорку Кенеша Кыргызской Республики), Керезбеков К.К. (право голосования передано депутату Касымалиевой А.К. в письменной форме), Конушбаев Т.К. (право голосования передано депутату Толонову Д.Э. в письменной форме по вопросу об избрании депутата Касымалиевой А.К. на должность заместителя Торага Жогорку Кенеша Кыргызской Республики), Кыдыралиев У.Т. (право голосования передано депутату Маматалиеву М.А. в письменной форме по вопросу об избрании депутата Касымалиевой А.К. на должность заместителя Торага Жогорку Кенеша Кыргызской Республики), Мамашова А.Т. (право голосования передано депутату Нышанову С.К. в письменной форме по вопросу об избрании депутата Касымалиевой А.К. на должность заместителя Торага Жогорку Кенеша Кыргызской Республики), Мусаев Н.И. (право голосования передано депутату Исаеву К.К. в письменной форме), Сабиров М.Э. (право голосования передано депутату Жеенчороеву М.К. в письменной форме по вопросу об избрании депутата Касымалиевой А.К. на должность заместителя Торага Жогорку Кенеша Кыргызской Республики), Самигуллина А.Э. (право голосования передано депутату Молдобековой Г.С. в письменной форме по вопросу об избрании депутата Касымалиевой А.К. на должность заместителя Торага Жогорку Кенеша Кыргызской Республики), Строкова Е.Г. (право голосования передано депутату Касымалиевой А.К. в письменной форме), Сулейманов Б.И. (право голосования передано депутату Маматову А. в письменной форме по вопросу об избрании депутата Касымалиевой А.К. на должность заместителя Торага Жогорку Кенеша Кыргызской Республики), Султанов А.М. (право голосования передано депутату Асылбаевой Г.К. в письменной форме), Сурабалдиева Э.Ж. (право голосования передано депутату Зулпукарову Т.З. в письменной форме по вопросу об избрании депутата Касымалиевой А.К. на должность заместителя Торага Жогорку Кенеша Кыргызской Республики), Сыдыков Б.У. (право голосования передано депутату Алтынбекову А. в письменной форме по вопросу об избрании депутата Касымалиевой А.К. на должность заместителя Торага Жогорку Кенеша Кыргызской Республики), Токтошев Э.Т. (право голосования передано депутату Маматову А. в письменной форме по вопросу об избрании депутата Касымалиевой А.К. на должность заместителя Торага Жогорку Кенеша Кыргызской Республики), Торобаев Б.Э. (право голосования передано депутату Бакирову М.И. в письменной форме), Турсунбеков Ч.А. (право голосования передано депутату Кулбаракову А.И. в письменной форме), Шайназарову Т.У. (право голосования передано депутату Бакирову М.И. в письменной форме), Шер-Нияз С. (право голосования передано депутату Маматову А. в письменной форме по вопросу об избрании депутата Касымалиевой А.К. на должность заместителя Торага Жогорку Кенеша Кыргызской Республики), Эгембердиев М.Б. (право голосования передано депутату Зулпукарову Т.З. в письменной форме), Юсуров А.Л. (право голосования передано депутату Икрамову Т.И. в письменной форме).",http://kenesh.kg/ru/article/show/4844/protokol-31-ot-27-12-2018-g,106,15 минут,109,1 час,113,,111,111,,
111,протокол № 30 от 26.12.2018 г.,26.12.2018,4,"Артыкбаев О.М., Исаков М.А. (право голосования передано депутату Зулпукарову Т.З. в письменной форме), Сулайманов А.Т. (право голосования передано депутату Абдылдаеву М.Ю. в письменной форме), Тулендыбаев П.Р. (право голосования передано депутату Байбакпаеву Э.Дж. в письменной форме).",http://kenesh.kg/ru/article/show/4808/protokol-30-ot-26-12-2018-g,83,15 минут,115,1 час,67,,,,,
112,протокол № 29 от 20.12.2018 г.,20.12.2018,22,"Алимбеков Н.К. (право голосования передано депутату Эргешову А.М. в письменной форме), Арапбаев А.А. (право голосования передано депутату Омуркулову И.Ш. в письменной форме), Артыкбаев О.М., Бакчиев Дж.А. (право голосования передано депутату Ормонову У.З. в письменной форме), Жээнбеков А.Ш. (право голосования передано депутату Зулпукарову Т.З. в письменной форме), Жутанов А.Т. (право голосования передано депутату Икрамову Т.И. в письменной форме), Иманалиев К.К. (право голосования передано депутату Шыкмаматову А.Н. в письменной форме), Исаев К.К. (право голосования передано депутату Самаеву У.О. в письменной форме), Исаков М.А., (право голосования передано депутату Зулпукарову Т.З. в письменной форме), Кулбараков А.И. (право голосования передано депутату Нурбаеву А.М. в письменной форме), Маматов А.М. (право голосования передано депутату Шыкмаматову А.Н. в письменной форме), Маннанов И.А. (право голосования передано депутату Касымалиевой А.К. в письменной форме), Мусаев Н.И. (право голосования передано депутату Самаеву У.О. в письменной форме), Нышанов С.К. (право голосования передано депутату Шыкмаматову А.Н. в письменной форме), Сабиров М.Э. (право голосования передано депутату Жеенчороеву М.К. в письменной форме) по вопросу об отзыве депутата Кодурановой А.С. с должности заместителя Торага Жогорку Кенеша Кыргызской Республики, Самат Г.-К. (право голосования передано депутату Шыкмаматову А.Н. в письменной форме), Сулейманов Б.И. (право голосования передано депутату Шыкмаматову А.Н. в письменной форме), Тагаев Э.С. (право голосования передано депутату Ормонову У.З. в письменной форме), Торобаев Б.Э. (право голосования передано депутату Шайназарову Т.У. в письменной форме), Тотонов Н.Т. (право голосования передано депутату Жеенчороеву М.К. в письменной форме), Шер-Нияз С. (право голосования передано депутату Шыкмаматову А.Н. в письменной форме).",http://kenesh.kg/ru/article/show/4807/protokol-29-ot-20-12-2018-g,100,15 минут,73,1 час,115,,111,,,
113,протокол № 28 от 19.12.2018 г.,19.12.2018,2,"Артыкбаев О.М., Исаков М.А. (право голосования передано депутату Зулпукарову Т.З. в письменной форме).",http://kenesh.kg/ru/article/show/4806/protokol-28-ot-19-12-2018-g,72,15 минут,109,1 час,62,15 минут,88,,,
114,протокол № 27 от 13.12.2018 г.,13.12.2018,12,"Алимбеков Н.К., Алтыбаева А.Т., Аманкулов М.А. (право голосования передано депутату Омуркулову И.Ш. в письменной форме), Артыкбаев О.М., Бекешев Д.Д. (право голосования передано депутату Аманкулову М.А. в письменной форме), Казакбаев Р.А., Керезбеков К.К., Масабиров Т.А. (право голосования передано депутату Нурматову К.С. в письменной форме), Тиллаев Т.Г., Токторов А.С., Торокулов Д.Г., Турускулов Ж.К.",http://kenesh.kg/ru/article/show/4687/protokol-27-ot-13-12-2018-g,87,15 минут,106,1 час,61,15 минут,80,100,102,
115,протокол № 26 от 12.12.2018 г.,12.12.2018,13,"Алимбеков Н.К., Алтыбаева А.Т., Артыкбаев О.М., Бекешев Д.Д. (право голосования передано депутату Аманкулову М.А. в письменной форме), Зулпукаров Т.З. (право голосования передано депутату Омуркулову И.Ш. в письменной форме), Казакбаев Р.А., Керезбеков К.К., Масабиров Т.А. (право голосования передано депутату Нурматову К.С. в письменной форме), Тиллаев Т.Г., Токторов А.С., Торокулов Д.Г., Турускулов Ж.К., Шыкмаматов А.Н.",http://kenesh.kg/ru/article/show/4650/protokol-26-ot-12-12-2018-g,76,15 минут,91,1 час,80,15 минут,109,,,
116,протокол № 25 от 06.12.2018 г.,06.12.2018,6,"Артыкбаев О.М., Бекешев Д.Д. (право голосования передано депутату Аманкулову М.А. в письменной форме), Жапаров А.У. (право голосования передано депутату Турусбекову Б.С. в письменной форме), Иманалиев К.К. (право голосования передано депутату Нышанову С.К. в письменной форме), Казакбаев Р.А., Сулейманов Б.И.",http://kenesh.kg/ru/article/show/4649/protokol-25-ot-06-12-2018-g,93,15 минут,64,1 час,101,,108,,,
117,протокол № 24 от 05.12.2018 г.,05.12.2018,4,"Артыкбаев О.М., Бекешев Д.Д. (право голосования передано депутату Аманкулову М.А. в письменной форме), Иманалиев К.К. (право голосования передано депутату Нышанову С.К. в письменной форме), Казакбаев Р.А.",http://kenesh.kg/ru/article/show/4648/protokol-24-ot-05-12-2018-g,72,15 минут,98,1 час,78,15 минут,66,106,,
118,протокол № 23 от 29.11.2018 г.,29.11.2018,9,"Алимбеков Н.К., Алтыбаева А.Т., Артыкбаев О.М., Баймуратов К.Ш. (право голосования передано депутату Турускулову Ж.К. в письменной форме), Бакиров М.И. (право голосования передано депутату Торобаеву Б.Э. в письменной форме), Мамытов Т.Т., Никитенко Н.В. (право голосования передано депутату Шыкмаматову А.Н. в письменной форме), Сабиров М.Э., Сыдыков Б.У.",http://kenesh.kg/ru/article/show/4647/protokol-23-ot-29-11-2018-g,86,15 минут,111,1 час,106,15 минут,96,112,,
119,протокол № 22 от 28.11.2018 г.,28.11.2018,13,"Айнакулов М.А., Алимбеков Н.К., Алтыбаева А.Т., Артыкбаев О.М., Баймуратов К.Ш. (право голосования передано депутату Турускулову Ж.К. в письменной форме), Бакиров М.И. (право голосования передано депутату Торобаеву Б.Э. в письменной форме), Жамалдинов З.И., Мамытов Т.Т., Никитенко Н.В. (право голосования передано депутату Шыкмаматову А.Н. в письменной форме), Сабиров М.Э., Сыдыков Б.У., Турусбеков Б.С., Толонов Д.Э.",http://kenesh.kg/ru/article/show/4646/protokol-22-ot-28-11-2018-g,74,15 минут,95,1 час,100,,101,,,
120,протокол № 21 от 22.11.2018 г.,22.11.2018,17,"Айдаров С.А., Артыкбаев О.М., Баймуратов К.Ш. (право голосования передано депутату Турускулову Ж.К. в письменной форме), Джумабеков Д.А., Жамалдинов З.И., Зулпукаров Т.З., Кыдыралиев У.Т., Матраимов И.И., Нурбаев А.М., Нурматов К.С., Омуркулов И.Ш., Пирматов И.А., Самат Гульнара Клара, Субанбеков Б.Ж., Узакбаев А.О., Шер-Нияз С., Эгембердиев М.Б. (право голосования передано депутату Джураеву С.М. в письменной форме).",http://kenesh.kg/ru/article/show/4645/protokol-21-ot-22-11-2018-g,101,15 минут,107,1 час,93,15 минут,97,105,,
121,протокол № 20 от 21.11.2018 г.,21.11.2018,17,"Айдаров С.А., Артыкбаев О.М., Баймуратов К.Ш. (право голосования передано депутату Турускулову Ж.К. в письменной форме), Джумабеков Д.А., Жамалдинов З.И., Зулпукаров Т.З., Кыдыралиев У.Т., Матраимов И.И., Нурбаев А.М., Нурматов К.С., Омуркулов И.Ш., Пирматов И.А., Самат Гульнара Клара, Субанбеков Б.Ж., Узакбаев А.О., Шер-Нияз С., Эгембердиев М.Б. (право голосования передано депутату Джураеву С.М. в письменной форме).",http://kenesh.kg/ru/article/show/4644/protokol-20-ot-21-11-2018-g,80,15 минут,107,1 час,64,15 минут,94,,,
122,протокол № 19 от 15.11.2018 г.,15.11.2018,10,"Айнакулов М.А. (право голосования передано депутату Омуркулову И.Ш. в письменной форме), Акаев Ж.К., Артыкбаев О.М., Артыков А., Жунус уулу А. (право голосования передано депутату Торобаеву Б.Э. в письменной форме), Иманалиев К.К. (право голосования передано депутату Нышанову С.К. в письменной форме), Казакбаев Р.А., Келдибаев С.А., Ормонов У.З., Сабиров М.Э.",http://kenesh.kg/ru/article/show/4643/protokol-19-ot-15-11-2018-g,94,15 минут,108,1 час,110,15 минут,110,102,,
123,протокол № 18 от 14.11.2018 г.,14.11.2018,11,"Айнакулов М.А. (право голосования передано депутату Омуркулову И.Ш. в письменной форме), Акаев Ж.К., Артыкбаев О.М., Артыков А.А., Жунус уулу А. (право голосования передано депутату Торобаеву Б.Э. в письменной форме), Зулпукаров Т.З. (право голосования передано депутату Жээнбекову А.Ш. в письменной форме), Иманалиев К.К. (право голосования передано депутату Нышанову С.К. в письменной форме), Казакбаев Р.А., Келдибаев С.А., Ормонов У.З., Сабиров М.Э.",http://kenesh.kg/ru/article/show/4540/protokol-18-ot-14-11-2018-g,80,15 минут,98,1 час,103,,99,,,
124,протокол № 17 от 01.11.2018 г.,01.11.2018,6,"Артыкбаев О.М., Баймуратов К.Ш. (право голосования передано депутату Турускулову К.Ж. в письменной форме), Зулпукаров Т.З. (право голосования передано депутату Примову У.Б. в письменной форме), Строкова Е.Г. (право голосования передано депутату Карашеву А.А. в письменной форме), Токторов А.С. (право голосования передано депутату Баатырбекову А.Б. в письменной форме), Шер-Нияз С. (право голосования передано депутату Шыкмаматову А.Н. в письменной форме).",http://kenesh.kg/ru/article/show/4539/protokol-17-ot-01-11-2018-g,92,15 минут,100,,97,,,,,
125,протокол № 16 от 31.10.2018 г.,31.10.2018,13,"Артыкбаев О.М., Баймуратов К.Ш. (право голосования передано депутату Турускулову К.Ж. в письменной форме), Бакиров М.И. (право голосования передано депутату Торобаеву Б.Э. в письменной форме), Бекешев Д.Д. (право голосования передано депутату Аманкулову М.А. в письменной форме), Гайпкулов И.Т., Джумабеков Д.А., Жапаров А.У., Зулпукаров Т.З. (право голосования передано депутату Примову У.Б. в письменной форме), Маннанов И.А., Рысалиев З.К., Строкова Е.Г. (право голосования передано депутату Карашеву А.А. в письменной форме), Токторов А.С. (право голосования передано депутату Баатырбекову А.Б. в письменной форме), Шер-Нияз С. (право голосования передано депутату Шыкмаматову А.Н. в письменной форме).",http://kenesh.kg/ru/article/show/4526/protokol-16-ot-31-10-2018-g,69,15 минут,68,1 час,72,,98,,,
126,протокол № 15 от 25.10.2018 г.,25.10.2018,6,"Артыкбаев О.М., Гаипкулов И.Т. (право голосования передано депутату Токтошеву Э.Т. в письменной форме), Исаков М.А. (право голосования передано депутату Зулпукарову Т.З. в письменной форме), Исмаилова А.Ж., С.Шер-Нияз (право голосования передано депутату Шыкмаматову А.Н. в письменной форме), Никитенко Н.В. (право голосования передано депутату Шыкмаматову А.Н. в письменной форме).",http://kenesh.kg/ru/article/show/4525/protokol-15-ot-25-10-2018-g,85,15 минут,104,1 час,101,,113,,,
127,протокол № 14 от 24.10.2108 г.,24.10.2108,6,"Артыкбаев О.М., Гайпкулов И.Т. (право голосования передано депутату Токтошеву Э.Т. в письменной форме), Исаков М.А. (право голосования передано депутату Зулпукарову Т.З. в письменной форме), Исмаилова А.Ж., С.Шер-Нияз (право голосования передано депутату Шыкмаматову А.Н. в письменной форме), Никитенко Н.В. (право голосования передано депутату Шыкмаматову А.Н. в письменной форме).",http://kenesh.kg/ru/article/show/4524/protokol-14-ot-24-10-2108-g,83,15 минут,99,1 час,79,15 минут,104,,,
128,протокол № 13 от 18.10.2018 г.,18.10.2018,20,"Аманкулов М.А. (право голосования передано депутату Омуркулову И.Ш. в письменной форме),  Артыкбаев О.М., Баатырбеков А.Б., Бакиров М.И. (право голосования передано депутату Торобаеву Б.Э. в письменной форме),  Бакчиев Дж.А., Жамалдинов З.И., Жамангулов А.Ж., Жунус уулу Алтынбек, Кыдыралиев У.Т.,   Маматалиев М.А., Маннанов И.А., Нурматов К.С., Примов У.Б. (право голосования передано депутату Зулпукарову Т.З. в письменной форме), Сабиров М.Э., Сулейманов Б.И., Сыдыков Б.У., Токтошев Э.Т., Торобаев Б.Э., Турусбеков Б.С., Чойбеков Р.Н., Шайназаров Т.У.",http://kenesh.kg/ru/article/show/4508/protokol-13-ot-18-10-2018-g,87,15 минут,107,1 час,104,,104,,,
129,протокол № 12 от 17.10.2018 г.,17.10.2018,9,"Аманкулов М.А. (право голосования передано депутату Омуркулову И.Ш. в письменной форме), Артыкбаев О.М., Бакиров М.И. (право голосования передано депутату Торобаеву Б.Э. в письменной форме), Жамалдинов З.И., Жамангулов А.Ж., Жунус уулу Алтынбек (право голосования передано депутату Торобаеву Б.Э. в письменной форме), Нурматов К.С., Сулейманов Б.И., Токтошев Э.Т.",http://kenesh.kg/ru/article/show/4507/protokol-12-ot-17-10-2018-g,80,15 минут,91,,,,,,,
130,протокол № 11 от 11.10.2018 г.,11.10.2018,18,"Аманкулов М.А. (право голосования передано депутату Омуркулову И.Ш. в письменной форме),  Артыкбаев О.М., Асылбаева Г.К., Джумабеков Д.А., Жамалдинов З.И., Зулпукаров Т.З. (право голосования передано депутату Примову У.Б. в письменной форме), Исаева Д.Ш.,  Масабиров Т.А., Молдобекова Г.С. (право голосования передано депутату Самигуллиной А.Э. в письменной форме), Мусабекова Ж.А., Нурматов К.С., Нышанов С.К., Сулейманов Б.И., Сурабалдиева Э.Ж. (право голосования передано депутату Джураеву С.М. в письменной форме), Токтошев Э.Т., Торокулов Д.Г., Узакбаев А.О., Эргешов А.М. (право голосования передано депутату Баатырбекову А.Б. в письменной форме).",http://kenesh.kg/ru/article/show/4487/protokol-11-ot-11-10-2018-g,87,15 минут,101,,102,,,,,
131,протокол № 10 от 10.10.2018 г.,10.10.2018,15,"Аманкулов М.А. (право голосования передано депутату Омуркулову И.Ш. в письменной форме), Артыкбаев О.М., Асылбаева Г.К., Джумабеков Д.А., Жамалдинов З.И., Зулпукаров Т.З. (право голосования передано депутату Примову У.Б. в письменной форме), Молдобекова Г.С. (право голосования передано депутату Самигуллиной А.Э. в письменной форме),  Мусабекова Ж.А., Нурматов К.С., Нышанов С.К., Строкова Е.Г. (право голосования передано депутату Карашеву А.А. в письменной форме), Сулейманов Б.И., Токторов А.С., Токтошев Э.Т., Эргешов А.М. (право голосования передано депутату Баатырбекову А.Б. в письменной форме).",http://kenesh.kg/ru/article/show/4486/protokol-10-ot-10-10-2018-g,75,15 минут,105,,,,,,,
132,протокол № 9 от 04.10.2018 г.,04.10.2018,9,"Акматов А.Ж., Аманкулов М.А. (право голосования передано депутату Омуркулову И.Ш. в письменной форме), Артыкбаев О.М., Гайпкулов И.Т., Зулпукаров Т.З. (право голосования передано депутату Примову У.Б. в письменной форме), Икрамов Т.И. (право голосования передано депутату Асылбаевой Г.К. в письменной форме), Карамушкина И.Ю., Масалиев И.А. (право голосования передано депутату Асылбаевой Г.К. в письменной форме), Сурабалдиева Э.Ж. (право голосования передано депутату Джураеву С.М. в письменной форме).",http://kenesh.kg/ru/article/show/4485/protokol-9-ot-04-10-2018-g,95,15 минут,93,1 час,97,,112,,,
133,протокол № 8 от 03.10.2018 г.,03.10.2018,5,"Акматов А.Ж., Артыкбаев О.М.,  Икрамов Т.И. (право голосования передано депутату Асылбаевой Г.К. в письменной форме), Карамушкина И.Ю., Сурабалдиева Э.Ж. (право голосования передано депутату Джураеву С.М. в письменной форме).",http://kenesh.kg/ru/article/show/4484/protokol-8-ot-03-10-2018-g,101,15 минут,109,1 час,110,,,,,
134,протокол № 7 от 27.09.2018 г.,27.09.2018,5,"Аманкулов М.А. (право голосования передано депутату Омуркулову И.Ш. в письменной форме), Исаков М.А. (право голосования передано депутату Зулпукарову Т.З. в письменной форме), Мамашова А.Т. (право голосования передано депутату Никитенко Н.В. в письменной форме), Эгембердиев М.Б. (право голосования передано депутату, Зулпукарову Т.З. в письменной форме).",http://kenesh.kg/ru/article/show/4444/protokol-7-ot-27-09-2018-g,100,15 минут,106,1 час,109,15 минут,109,75,,
135,протокол № 6 от 26.09.2018 г.,26.09.2018,19,"Аманкулов М.А. (право голосования передано депутату Омуркулову И.Ш. в письменной форме), Бакчиев Ж.А. (право голосования передано депутату Акматову А.Ж. в письменной форме), Бокоев К.С. (право голосования передано депутату Жеенчороеву М.К. в письменной форме), Гайпкулов И.Т. (право голосования передано депутату Токтошеву Э.Т. в письменной форме), Жамангулов А.Ж. (право голосования передано депутату Райымкулову Б.К. в письменной форме), Жетигенов Б.Ж. (право голосования передано депутату Момбекову Р.Ч. в письменной форме), Жутанов А.Т. (право голосования передано депутату Икрамову Т.И. в письменной форме), Жолдошбаев К. (право голосования передано депутату Юсурову А.Л. в письменной форме), Жунус уулу Адыл (право голосования передано депутату Мавляновой М.Э. в письменной форме), Исаева Д.Ш. (право голосования передано депутату Турускулову Ж.К. в письменной форме), Исаков М.А. (право голосования передано депутату Зулпукарову Т.З. в письменной форме), Кыдыралиев У.Т. (право голосования передано депутату Маматалиеву М.А. в письменной форме), Мамашова А.Т. (право голосования передано депутату Никитенко Н.В. в письменной форме), Мусаев Н.И. (право голосования передано депутату Алыбаеву О.А. в письменной форме), Турсунбеков Ч.А. (право голосования передано депутату Баатырбекову А.Б. в письменной форме), Сабиров М.Э. (право голосования передано депутату Жеенчороеву М.К. в письменной форме), Строкова Е.Г. (право голосования передано депутату Карашеву А.А. в письменной форме), Туманбаева Р.М. (право голосования передано депутату Турускулову Ж.К. в письменной форме), Эгембердиев М.Б. (право голосования передано депутату Зулпукарову Т.З. в письменной форме).",http://kenesh.kg/ru/article/show/4443/protokol-6-ot-26-09-2018-g,102,15 минут,101,1 час,97,,,,,
136,протокол № 5 от 20.09.2018 г.,20.09.2018,8,"Алтыбаева А.Т. (право голосования передано депутату Керезбекову К.К. в письменной форме), Баймуратов К.Ш. (право голосования передано депутату Турускулову Ж.К. в письменной форме), Бакиров М.И. (право голосования передано депутату Торобаеву Б.Э. в письменной форме), Жээнбеков А.Ш. (право голосования передано депутату Зулпукарову Т.З. в письменной форме), Касымалиева А.К. (право голосования передано депутату Зулпукарову Т.З. в письменной форме), Никитенко Н.В. (право голосования передано депутату Шыкмаматову А.Н. в письменной форме), Сулайманов А.Т. (право голосования передано депутату Абдылдаеву М.Ю. в письменной форме), Тулендыбаев П.Р. (право голосования передано депутату Зулушеву К.Т. в письменной форме).",http://kenesh.kg/ru/article/show/4376/protokol-5-ot-20-09-2018-g,93,15 минут,109,,111,,,,,
137,протокол № 4 от 19.09.2018 г.,19.09.2018,9,"Алтыбаева А.Т. (право голосования передано депутату Керезбекову К.К. в письменной форме), Бакиров М.И. (право голосования передано депутату Торобаеву Б.Э. в письменной форме), Бакчиев Ж.А. (право голосования передано депутату Абдылдаеву М.Ю. в письменной форме), Жапаров А.У. (право голосования передано депутату Торокулову Д.Г. в письменной форме), Жеенбеков А.Ш. (право голосования передано депутату Шыкмаматову А.Н. в письменной форме), Исмаилова А.Ж. (право голосования передано депутату Зулушеву К.Т. в письменной форме), Касымалиева А.К. (право голосования передано депутату Зулпукарову Т.З. в письменной форме), Никитенко Н.В. (право голосования передано депутату Шыкмаматову А.Н. в письменной форме), Тулендыбаев П.Р. (право голосования передано депутату Зулушеву К.Т. в письменной форме).",http://kenesh.kg/ru/article/show/4375/protokol-4-ot-19-09-2018-g,103,15 минут,95,1 час,105,15 минут,72,,,
138,протокол № 3 от 13.09.2018 г.,13.09.2018,2,"Зулпукаров Т.З. (право голосования передано депутату Омуркулову И.Ш. в письменной форме), Сурабалдиева Э.Ж. (право голосования передано депутату Омуркулову И.Ш. в письменной форме).",http://kenesh.kg/ru/article/show/4374/protokol-3-ot-13-09-2018-g,108,15 минут,112,1 час,99,,112,,,
139,протокол № 2 от 12.09.2018 г.,12.09.2018,3,"Алыбаев О.А. (право голосования передано депутату Баатырбекову А.Б. в письменной форме), Нурбаев А.М., Сурабалдиева Э.Ж. (право голосования передано депутату Омуркулову И.Ш. в письменной форме).",http://kenesh.kg/ru/article/show/4373/protokol-2-ot-12-09-2018-g,99,15 минут,101,,,,,,,
140,протокол № 1 от 04.09.2018 г.,04.09.2018,1,Сурабалдиева Э.Ж. (право голосования передано депутату Аманкулову М.А. в письменной форме).,http://kenesh.kg/ru/article/show/4372/protokol-1-ot-04-09-2018-g,70,,,,,,,,,
141,протокол № 75 от 28.06.2018 г.,28.06.2018,3,"Исаев К.К., Мадеминов М.Г. (право голосования передано депутату Джураеву С.М. в письменной форме), Токтошев Э.Т. (право голосования передано депутату Шыкмаматову А.Н. в письменной форме).",http://kenesh.kg/ru/article/show/4118/protokol-75-ot-28-06-2018-g,91,15 минут,104,1 час,103,,114,,,
142,протокол № 74 от 27.06.2018 г.,27.06.2018,12,"Айнакулов М.А. (право голосования передано депутату Кулбаракову А.И. в письменной форме), Арапбаев А.А. (право голосования передано депутату Касымалиевой А.К. в письменной форме), Бекешев Д.Д. (право голосования передано депутату Аманкулову М.А. в письменной форме), Гайпкулов И.Т. (право голосования передано депутату Шыкмаматову А.Н. в письменной форме), Жетигенов Б.Ж. (право голосования передано депутату Молдобековой Г.С. в письменной форме), Исаев К.К., Каримов Н.Т. (право голосования передано депутату Рыспаеву К.Дж. в письменной форме), Мавлянова М.Э. (право голосования передано депутату Мамытову Т.Т. в письменной форме), Мадеминов М.Г. (право голосования передано депутату Джураеву С.М. в письменной форме), Маннанов И.А. (право голосования передано депутату Нурбаеву А.М. в письменной форме), Мусабекова Ж.А. (право голосования передано депутату Матраимову И.И. в письменной форме), Токтошев Э.Т. (право голосования передано депутату Шыкмаматову А.Н. в письменной форме).",http://kenesh.kg/ru/article/show/4112/protokol-74-ot-27-06-2018-g,100,15 минут,96,1 час,98,15 минут,108,107,,
