,title,date,count_no_deps,no_deps,url,0 Зарегистрировались,0 перерыв,1 Зарегистрировались,1 перерыв,2 Зарегистрировались,2 перерыв,3 Зарегистрировались,4 Зарегистрировались,5 Зарегистрировались,6 Зарегистрировались
11,протокол № 57 от 30.04.2020 г.,30.04.2020,1,Эгембердиев М.Б. (право голосования передано депутату Омуркулову И.Ш. в письменной форме).,http://kenesh.kg/ru/article/show/6796/protokol-57-ot-30-04-2020-g,113.0,15 минут,120.0,15 минут,110.0,,112.0,,,
257,протокол № 35 от 19.01.2017 г.,19.01.2017,20,"Айнакулов М.А. (право голосования передано депутату Омуркулову И.Ш. в письменной форме), Акматов А.Ж. (право голосования передано депутату Субанбекову Б.Ж. в письменной форме), Аттокуров Д.Б. (право голосования передано депутату Кодурановой А.С. в письменной форме), Бокоев К.С. (право голосования передано депутату Омурбековой А.С. в письменной форме), Джумабеков Д.А. (право голосования передано депутату Алимбекову Н.К. в письменной форме), Жунус уулу Адыл (право голосования передано депутату Нишанову Н.Н. в письменной форме), Жутанов А.Т. (право голосования передано депутату Жамалдинову З.И. в письменной форме), Иминов Ф.А. (право голосования передано депутату Баймуратову К.Ш. в письменной форме), Исаев К.К. (право голосования передано депутату Баатырбекову А.Б. в письменной форме), Кадыркулов И.А. (право голосования передано депутату Джураеву С.М. в письменной форме), Казакбаев Р.А. (право голосования передано депутату Сыдыкову Б.У. в письменной форме), Кыдыралиев У.Т. (право голосования передано депутату Жеенчороеву М.К. в письменной форме), Макеев Н.К. (право голосования передано депутату Баатырбекову А.Б. в письменной форме), Мамашова А.Т. (право голосования передано депутату Шыкмаматову А.Н. в письменной форме), Мамытов Т.Т. (право голосования передано депутату Омурбековой А.С. в письменной форме), Токторов А.С. (право голосования передано депутату Баатырбекову А.Б. в письменной форме), Турускулов Ж.К. (право голосования передано депутату Тиллаеву Т.Г. в письменной форме), Узакбаев А.О. (право голосования передано депутату Асылбаевой Г.К. в письменной форме), Чудинов И.В. (право голосования передано депутату Ормонову У.З. в письменной форме), Шайназаров Т.У. (право голосования передано депутату Жунус уулу Алтынбеку в письменной форме).",http://kenesh.kg/ru/article/show/1385/protokol-35-ot-19-01-2017-g,111.0,15 минут,91.0,1 час,104.0,,120.0,,,
